Description,Extension,Category,MIME type
MPEG-1 audio and video file system stream,.mps,Video,Unknown
Destiny MPE Encoder encrypted portable media,.epm,Video,Unknown
OTRKEY encoded video,.otrkey,Video,Unknown
MTV video format,.mtv,Video,Unknown
RealMedia multimedia,.rm,Video,application/vnd.rn-realmedia
Security camera video,.g64,Video,Unknown
Panasonic WJ-RT416 video recording,.rt4,Video,Unknown
JPEG 2000 motion sequence format (ISO 15444-3),.mj2,Video,video/mj2
Roxio Creator MyDVD DVD project,.dmsd,Video,Unknown
Apple QuickTime movie,.movie,Video,video/x-sgi-movie
Morae recorded video file,.rdg,Video,Unknown
ScreenFlow screen recording,.scc,Video,Unknown
YUV4MPEG2 video,.y4m,Video,Unknown
MPEG-4 video file format,.mpg4,Video,video/mp4
3GPP Third generation partnership project movie,.3gpp,Video,audio/mp4
Unicenter Remote Control data,.urc,Video,Unknown
Microsoft Lync 2010 record,.crec,Video,Unknown
Eyemail ETI Camcorder Pro video data,.eye,Video,Unknown
iMovie project,.rcproject,Video,Unknown
RealVideo video,.rv,Video,Unknown
Roxio Creator VideoWave movie project,.dmsm,Video,Unknown
MicroMV movie,.mmv,Video,Unknown
MPEG 1 video,.mpv,Video,Unknown
Digital Juice animation data,.djanimations,Video,Unknown
MPEG-2 video data,.mpgv,Video,Unknown
GoToMeeting video,.g2m,Video,Unknown
Adobe Premiere Elements project,.prel,Video,Unknown
Advanced Streaming Format,.lsf,Video,Unknown
Multiview Video Coding video,.mvc,Video,Unknown
Thin Client Media-3 encoded video,.tmi,Video,Unknown
MAGIX Movie Edit Pro video,.mxv,Video,Unknown
Wondershare Filmora project,.wsve,Video,Unknown
AT&T U-verse recorded video,.slc,Video,application/vnd.wap.slc
Haihaisoft DRM-X protected video,.hup,Video,Unknown
Adobe Flash mp4 multimedia,.f4v,Video,video/x-f4v
MPEG video,.mpgx,Video,Unknown
Warez movie,.rargb,Video,Unknown
Microsoft Digital Video Recording,.dvr-ms,Video,Unknown
Java Media Framework data,.jmf,Video,Unknown
Adobe Shockwave 3D scene export,.w3d,Video,application/x-director
Sony PlayStation PSP movie,.pmf,Video,Unknown
iPIX interactive pictures format,.aut,Video,Unknown
Apple QuickTime movie clip,.qt,Video,video/quicktime
REI Camera System video format,.m65,Video,Unknown
Adobe Premiere 6 and older video project,.ppj,Video,Unknown
MPEG program stream format,.ps,Video,application/postscript
MPC-HC mpeg video,.mv2,Video,Unknown
Adobe Flash component distribution data,.swc,Video,Unknown
MSN Webcam Recorder video file,.ml20,Video,Unknown
VideoPad video,.vpg,Video,Unknown
Final Cut Pro project,.fcp,Video,Unknown
MPEG-2 video,.ts4,Video,Unknown
Pegasys video,.pgmx,Video,Unknown
FreeSWITCH video data,.fsv,Video,Unknown
Warez movie,.jyk,Video,Unknown
IRIX command compressed movie,.mv,Video,Unknown
FCEUX movie,.fm2,Video,Unknown
Mistaken M2TS video,.bdav,Video,Unknown
MPEG-4 video file format,.mp4;v=1,Video,Unknown
MSX video,.eva,Video,Unknown
Norpix StreamPix video sequence,.seq,Video,Unknown
Apple ProRes 422 HQ video,.hq,Video,Unknown
Adobe Flash Player signed RSL data,.swz,Video,Unknown
Blu-ray information,.bdmv,Video,Unknown
Arcsoft Showbiz captured video,.tms,Video,Unknown
Wintal PVR video,.pvr,Video,Unknown
Adobe Captivate video composition,.cpvc,Video,Unknown
MPEG-4 video,.mpeg4,Video,Unknown
JPEG 2000 motion sequence format (ISO 15444-3),.mjp2,Video,video/mj2
Electronic Arts video data,.tgv,Video,Unknown
Microsoft 3D Movie Maker video,.3mm,Video,Unknown
Global Mobile Media media data,.gmm,Video,Unknown
CaptiveWorks PVR video recording format,.gts,Video,Unknown
Sony unfinished video recording,.rsv,Video,Unknown
Digital video file,.dv,Video,Unknown
MAGIX Movie Edit Pro video data,.avd,Video,Unknown
Moving Pictures Experts Group video (MPEG-1 IPB),.m1v,Video,video/mpeg
WinCAPs subtitles,.w32,Video,Unknown
MAGIX Video easy project,.mvy,Video,Unknown
Sony VDU file format importer,.dlx,Video,Unknown
Clipstream 32 Kb stream,0.44,Video,Unknown
Autodesk Animator FLIC animation (old format),.fli,Video,video/x-fli
DivX Media Format,.divx,Video,Unknown
AutoDesk FLIC format,.flc,Video,Unknown
Advanced Streaming Redirector,.lsx,Video,Unknown
RealMedia streaming data,.rax,Video,Unknown
Ogg Vorbis media,.ogm,Video,Unknown
Interactive Visual Media video format,.ivm,Video,Unknown
Movie Edit Pro video file,.mvd,Video,Unknown
MPEG program stream format,.mpegps,Video,Unknown
PCSX Rerecording captured movie,.pxm,Video,Unknown
DVD2AVI mpeg2 data,.dtv,Video,Unknown
AVC Blu-ray video format,.bsf,Video,Unknown
aTube Catcher video data,.video,Video,Unknown
Windows Media Center TV recording,.wtv,Video,Unknown
Movavi Video Editor project (version 10 or older),.mep,Video,Unknown
Houdini movie file,.hmv,Video,Unknown
Opus Creator multimedia data,.ilm,Video,Unknown
MPEG-2 packetized elementary stream,.m2v,Video,video/mpeg
CCTV video clip,.60d,Video,Unknown
Surveillance video file,.iva,Video,Unknown
Microsoft Xbox video data,.xmv,Video,Unknown
LucasArts Smush Animation Format,.san,Video,Unknown
TiVo video stream,.ty,Video,Unknown
MPEG-2 video,.mpg2,Video,Unknown
RCA digital recorder format,.rca,Video,Unknown
H.263 encoded video,0.263,Video,Unknown
RealAudio standard streaming metafile,.ssm,Video,Unknown
Mac Video file,.mcv,Video,Unknown
EDIUS Pro project,.epj,Video,Unknown
HyperTRANSCRIBE project,.htd,Video,Unknown
Walker File format video data,.rec_part1,Video,Unknown
PHOTOfunSTUDIO HD video data,.iis,Video,Unknown
Sony Movie Player file format,.mqv,Video,Unknown
VP8 video codec video,.vp8,Video,Unknown
NewTek uncompressed video data,.rtv,Video,Unknown
Roxio Video CD layout,.vcl,Video,Unknown
Mobile DJ video data,.kmv,Video,Unknown
muvee project,.rvl,Video,Unknown
SWF to EXE Converter project,.s2e,Video,Unknown
M-JPEG data,.m-jpeg,Video,Unknown
Roxio Creator VideoWave slideshow project,.dmss,Video,Unknown
VideoLink saved mail video,.smv,Video,Unknown
ratDVD commpressed DVD movie,.ratDVD,Video,Unknown
Integral video data,.xpv,Video,Unknown
Media Player Classic's playlist,.mpcpl,Video,Unknown
cVideo data,.cvc,Video,Unknown
GANZ video compression data,0.603,Video,Unknown
H.263 video format,.h263,Video,video/h263
Movavi Video Editor project (version 23 or above),.mepj,Video,Unknown
LoiLoScope project,.lsproj,Video,Unknown
Final Cut Pro or Apple iMovie library,.flexolibrary,Video,Unknown
GOM Player multimedia data,.k3g,Video,Unknown
Pixbend Player pixbend media file,.npv,Video,Unknown
Matroska 3D video format,.mkv3D,Video,Unknown
MPEG-2 video stream,.m2s,Video,Unknown
XVW export file,.xvw,Video,Unknown
Surveillance video file format,.nde,Video,Unknown
IP camera video,.hgd,Video,Unknown
3D side by side movie,.sbs,Video,Unknown
iMovie theater library,.theater,Video,Unknown
Media Player Classic video data,.vg2,Video,Unknown
Gens Plus! movie file,.gir,Video,Unknown
Apple iMovie video data,.imovietrailer,Video,Unknown
Google video,.gvi,Video,Unknown
CMS video data,.cx3,Video,Unknown
Digi-Watcher video data,.dgw,Video,Unknown
DivX movie,.dvx,Video,Unknown
BaiduPlayer media data,.bdtp,Video,Unknown
Internet streaming video,.ivs,Video,Unknown
AVS Video Editor project,.vep4,Video,Unknown
Apple QuickTime video,.mv4,Video,Unknown
Cavena subtitles data,0.89,Video,Unknown
WorldGroup Manager Video On Demand movie,.vod,Video,Unknown
Apple LiveType animation,.ipr,Video,Unknown
Kodak/Roper Bayer picture sequence,.bay,Video,Unknown
VirtualDub Frame Server file format,.vdr,Video,Unknown
Lotus ScreenCam movie,.scm,Video,application/vnd.lotus-screencam
AVS Media Player MPEG video file,.mvv,Video,Unknown
HTTP live streaming video,.hls,Video,Unknown
SVCD video,.svcd,Video,Unknown
JVC Everio MediaBrowser movie,.mbv,Video,Unknown
Multimedia data,.hlv,Video,Unknown
Samsung Smart TV video,.s4ud,Video,Unknown
STLabs video data,.stj,Video,Unknown
Splash Pro EX video,.splash,Video,Unknown
IVC video format,.jpv,Video,Unknown
iMovie project,.imovieproj,Video,Unknown
Downloaded Flash video,.flvat,Video,Unknown
Pinnacle Studio 400 project,.st4,Video,Unknown
nDs-mPeG video data,.dpg,Video,application/vnd.dpgraph
Microsoft PlayReady video,.pyv,Video,video/vnd.ms-playready.media.pyv
DOSBox capture movie file,.dof,Video,Unknown
Security cam footage file,0.8,Video,Unknown
TV NOW Portable Video Recorder video format,.tvv,Video,Unknown
Filmkey Player media data,.film,Video,Unknown
Cryo HNM movie soundtrack,.hnm,Video,Unknown
NXV video data,.nxv,Video,Unknown
Flash Video High Definition file,.flh,Video,Unknown
Unreal Tournament 2004 demo,.demo4,Video,Unknown
Cinema 4D Adobe After Effects import composition,.aec,Video,Unknown
ConvertXtoDVD project,.xtodvd,Video,Unknown
AQTitle subtitles,.aqt,Video,Unknown
Sony PSP video data,.mgv,Video,Unknown
PMP video file,.pmp,Video,Unknown
General Exchange Format video data,.gxf,Video,Unknown
Interwise participant recorded WebCast data,.vcm,Video,Unknown
H.261 encoded video,0.261,Video,Unknown
Ulead DVD MovieFactory project file,.dwz,Video,Unknown
LogMeIn PRO remote control session recording,.rcrec,Video,Unknown
eLecta Live recording,.el8,Video,Unknown
Corel VideoStudio 2 data,.vs2,Video,Unknown
Pinnacle Studio scene,.scn,Video,Unknown
Multiplexed MPEG-1/2 video,.mpeg1,Video,Unknown
H.264 / MPEG-4 AVC,.h4v,Video,Unknown
Video data,.wmv3,Video,Unknown
Sealed MPEG-1 video,.s11,Video,Unknown
Media Player Classic DSM streaming container,.dsm,Video,Unknown
Multimedia player movie clip,.mmp,Video,Unknown
JVC recorded multimedia data,.jmm,Video,Unknown
MIO multimedia data,.mio,Video,Unknown
Apple QuickTime real-time streaming protocol,.rtsp,Video,Unknown
MPEG movie (Motion Pictures Experts Group),.mpe,Video,video/mpeg
TMPGEnc DVD Author video data,.dvddata,Video,Unknown
Fast Search & Transfer video format,.fvt,Video,video/vnd.fvt
Apple QuickTime movie clip file,.moo,Video,Unknown
L3 DRM protected video,.l3,Video,Unknown
Mascom PVR video,.tp0,Video,Unknown
MCF Media Container file,.mcf,Video,Unknown
Japanese movie format,.noa,Video,Unknown
YTS YIFY video,.yts,Video,Unknown
3GPP2 multimedia data,.3gp2,Video,audio/mp4
Samsung video data,.svi,Video,Unknown
MPEG-1 system stream,.m1s,Video,Unknown
Microsoft Windows Media Center click-to-record data,.c2r,Video,Unknown
VGuard H.264 video,.vg,Video,Unknown
Adobe Encore project,.ncor,Video,Unknown
Apple QuickTime support data,.qtc,Video,Unknown
Adobe Soundbooth score template,.sbst,Video,Unknown
Axmedis object,.axm,Video,Unknown
PPLive data,.bbv,Video,Unknown
Multimedia files for wireless networks,.3gpp2,Video,audio/mp4
VisualNastran movie file,.wm3,Video,Unknown
Apple QuickTime HD Movie,.hdmov,Video,Unknown
Squeeze project,.sqz,Video,Unknown
RealMedia High Definition video,.rmhd,Video,Unknown
Emblaze Video Format,.ev2,Video,Unknown
Windows Media audio or video data,.wm,Video,video/x-ms-wm
Walker File Format,.rec_part2,Video,Unknown
